rally_uid,neighbors_used,train_rallies_used
16401,15,14995
16405,15,14995
16409,15,14995
16412,15,14995
16420,15,14995
16424,15,14995
16428,15,14995
16432,15,14995
16436,15,14995
16439,15,14995
16440,15,14995
16444,15,14995
16448,15,14995
16451,15,14995
16455,15,14995
16459,15,14995
16460,15,14995
16464,15,14995
16468,15,14995
16471,15,14995
16475,15,14995
16476,15,14995
16480,15,14995
16484,15,14995
16488,15,14995
16491,15,14995
16498,15,14995
16501,15,14995
16505,15,14995
16509,15,14995
16512,15,14995
16513,15,14995
16517,15,14995
16520,15,14995
16523,15,14995
16526,15,14995
16528,15,14995
16531,15,14995
16534,15,14995
16538,15,14995
16541,15,14995
16545,15,14995
16549,15,14995
16552,15,14995
16556,15,14995
16560,15,14995
16564,15,14995
16565,15,14995
16568,15,14995
16571,15,14995
16574,15,14995
16578,15,14995
16581,15,14995
16584,15,14995
16588,15,14995
16591,15,14995
16594,15,14995
16597,15,14995
16601,15,14995
16604,15,14995
16608,15,14995
16612,15,14995
16619,15,14995
16623,15,14995
16626,15,14995
16630,15,14995
16634,15,14995
16638,15,14995
16639,15,14995
16643,15,14995
16647,15,14995
16650,15,14995
16654,15,14995
16658,15,14995
16659,15,14995
16663,15,14995
16666,15,14995
16670,15,14995
16674,15,14995
16678,15,14995
16681,15,14995
16684,15,14995
16687,15,14995
16690,15,14995
16694,15,14995
16696,15,14995
16699,15,14995
16702,15,14995
16706,15,14995
16710,15,14995
16713,15,14995
16717,15,14995
16721,15,14995
16724,15,14995
16727,15,14995
16731,15,14995
16735,15,14995
16738,15,14995
16742,15,14995
16746,15,14995
16747,15,14995
16751,15,14995
16755,15,14995
16759,15,14995
16763,15,14995
16766,15,14995
16767,15,14995
16770,15,14995
16774,15,14995
16778,15,14995
16782,15,14995
16785,15,14995
16789,15,14995
16793,15,14995
16795,15,14995
16798,15,14995
16802,15,14995
16805,15,14995
16808,15,14995
16811,15,14995
16814,15,14995
16817,15,14995
16821,15,14995
16824,15,14995
16828,15,14995
16831,15,14995
16834,15,14995
16838,15,14995
16842,15,14995
16844,15,14995
16847,15,14995
16851,15,14995
16855,15,14995
16859,15,14995
16862,15,14995
16866,15,14995
16870,15,14995
16874,15,14995
16877,15,14995
16881,15,14995
16885,15,14995
16889,15,14995
16892,15,14995
16895,15,14995
16898,15,14995
16900,15,14995
16903,15,14995
16906,15,14995
16909,15,14995
16912,15,14995
16917,15,14995
16921,15,14995
16924,15,14995
16927,15,14995
16931,15,14995
16935,15,14995
16939,15,14995
16942,15,14995
16945,15,14995
16948,15,14995
16952,15,14995
16955,15,14995
16958,15,14995
16962,15,14995
16966,15,14995
16968,15,14995
16971,15,14995
16974,15,14995
16977,15,14995
16980,15,14995
16984,15,14995
16988,15,14995
16992,15,14995
16996,15,14995
16997,15,14995
17000,15,14995
17004,15,14995
17007,15,14995
17011,15,14995
17015,15,14995
17018,15,14995
17022,15,14995
17026,15,14995
17029,15,14995
17032,15,14995
17036,15,14995
17039,15,14995
17043,15,14995
17046,15,14995
17050,15,14995
17054,15,14995
17058,15,14995
17062,15,14995
17065,15,14995
17068,15,14995
17072,15,14995
17076,15,14995
17079,15,14995
17083,15,14995
17087,15,14995
17088,15,14995
17091,15,14995
17095,15,14995
17099,15,14995
17102,15,14995
17106,15,14995
17109,15,14995
17113,15,14995
17117,15,14995
17119,15,14995
17123,15,14995
17127,15,14995
17133,15,14995
17136,15,14995
17138,15,14995
17142,15,14995
17146,15,14995
17149,15,14995
17157,15,14995
17161,15,14995
17164,15,14995
17171,15,14995
17174,15,14995
17178,15,14995
17181,15,14995
17183,15,14995
17187,15,14995
17191,15,14995
17199,15,14995
17202,15,14995
17206,15,14995
17210,15,14995
17214,15,14995
17218,15,14995
17221,15,14995
17224,15,14995
17227,15,14995
17230,15,14995
17234,15,14995
17237,15,14995
17240,15,14995
17241,15,14995
17244,15,14995
17248,15,14995
17252,15,14995
17256,15,14995
17259,15,14995
17260,15,14995
17264,15,14995
17267,15,14995
17271,15,14995
17274,15,14995
17278,15,14995
17281,15,14995
17284,15,14995
17288,15,14995
17291,15,14995
17298,15,14995
17305,15,14995
17306,15,14995
17317,15,14995
17321,15,14995
17325,15,14995
17332,15,14995
17335,15,14995
17339,15,14995
17343,15,14995
17345,15,14995
17348,15,14995
17356,15,14995
17359,15,14995
17360,15,14995
17363,15,14995
17373,15,14995
17376,15,14995
17379,15,14995
17383,15,14995
17386,15,14995
17390,15,14995
17394,15,14995
17398,15,14995
17402,15,14995
17406,15,14995
17407,15,14995
17410,15,14995
17413,15,14995
17416,15,14995
17419,15,14995
17423,15,14995
17426,15,14995
17429,15,14995
17432,15,14995
17435,15,14995
17438,15,14995
17441,15,14995
17444,15,14995
17448,15,14995
17452,15,14995
17456,15,14995
17460,15,14995
17463,15,14995
17466,15,14995
17470,15,14995
17474,15,14995
17478,15,14995
17483,15,14995
17487,15,14995
17490,15,14995
17496,15,14995
17499,15,14995
17502,15,14995
17506,15,14995
17509,15,14995
17512,15,14995
17515,15,14995
17518,15,14995
17522,15,14995
17526,15,14995
17530,15,14995
17533,15,14995
17537,15,14995
17541,15,14995
17545,15,14995
17546,15,14995
17550,15,14995
17554,15,14995
17557,15,14995
17560,15,14995
17564,15,14995
17568,15,14995
17572,15,14995
17575,15,14995
17578,15,14995
17581,15,14995
17584,15,14995
17588,15,14995
17591,15,14995
17594,15,14995
17598,15,14995
17599,15,14995
17603,15,14995
17606,15,14995
17610,15,14995
17614,15,14995
17617,15,14995
17621,15,14995
17625,15,14995
17629,15,14995
17633,15,14995
17636,15,14995
17639,15,14995
17642,15,14995
17646,15,14995
17650,15,14995
17654,15,14995
17658,15,14995
17662,15,14995
17665,15,14995
17669,15,14995
17672,15,14995
17674,15,14995
17678,15,14995
17682,15,14995
17685,15,14995
17689,15,14995
17692,15,14995
17696,15,14995
17700,15,14995
17703,15,14995
17706,15,14995
17710,15,14995
17714,15,14995
17718,15,14995
17721,15,14995
17724,15,14995
17728,15,14995
17731,15,14995
17736,15,14995
17740,15,14995
17743,15,14995
17746,15,14995
17749,15,14995
17752,15,14995
17756,15,14995
17759,15,14995
17763,15,14995
17765,15,14995
17768,15,14995
17771,15,14995
17775,15,14995
17778,15,14995
17781,15,14995
17785,15,14995
17789,15,14995
17793,15,14995
17797,15,14995
17800,15,14995
17804,15,14995
17807,15,14995
17811,15,14995
17814,15,14995
17818,15,14995
17820,15,14995
17823,15,14995
17826,15,14995
17830,15,14995
17834,15,14995
17838,15,14995
17839,15,14995
17842,15,14995
17846,15,14995
17850,15,14995
17854,15,14995
17857,15,14995
17861,15,14995
17863,15,14995
17867,15,14995
17871,15,14995
17875,15,14995
17879,15,14995
17883,15,14995
17886,15,14995
17890,15,14995
17893,15,14995
17897,15,14995
17900,15,14995
17904,15,14995
17912,15,14995
17916,15,14995
17919,15,14995
17923,15,14995
17926,15,14995
17929,15,14995
17930,15,14995
17933,15,14995
17937,15,14995
17940,15,14995
17944,15,14995
17947,15,14995
17948,15,14995
17952,15,14995
17955,15,14995
17958,15,14995
17962,15,14995
17966,15,14995
17970,15,14995
17974,15,14995
17977,15,14995
17981,15,14995
17985,15,14995
17988,15,14995
17992,15,14995
17995,15,14995
17998,15,14995
18001,15,14995
18004,15,14995
18007,15,14995
18010,15,14995
18014,15,14995
18017,15,14995
18020,15,14995
18024,15,14995
18027,15,14995
18031,15,14995
18034,15,14995
18037,15,14995
18040,15,14995
18043,15,14995
18047,15,14995
18051,15,14995
18055,15,14995
18059,15,14995
18062,15,14995
18065,15,14995
18068,15,14995
18071,15,14995
18074,15,14995
18077,15,14995
18080,15,14995
18084,15,14995
18087,15,14995
18088,15,14995
18091,15,14995
18094,15,14995
18098,15,14995
18102,15,14995
18106,15,14995
18108,15,14995
18111,15,14995
18115,15,14995
18119,15,14995
18125,15,14995
18127,15,14995
18131,15,14995
18135,15,14995
18139,15,14995
18143,15,14995
18146,15,14995
18150,15,14995
18153,15,14995
18157,15,14995
18161,15,14995
18164,15,14995
18167,15,14995
18168,15,14995
18172,15,14995
18176,15,14995
18180,15,14995
18183,15,14995
18187,15,14995
18191,15,14995
18194,15,14995
18197,15,14995
18201,15,14995
18203,15,14995
18206,15,14995
18210,15,14995
18213,15,14995
18216,15,14995
18219,15,14995
18222,15,14995
18225,15,14995
18228,15,14995
18232,15,14995
18236,15,14995
18238,15,14995
18242,15,14995
18245,15,14995
18248,15,14995
18252,15,14995
18256,15,14995
18258,15,14995
18261,15,14995
18264,15,14995
18267,15,14995
18271,15,14995
18275,15,14995
18278,15,14995
18282,15,14995
18286,15,14995
18290,15,14995
18294,15,14995
18297,15,14995
18301,15,14995
18304,15,14995
18307,15,14995
18310,15,14995
18314,15,14995
18318,15,14995
18321,15,14995
18325,15,14995
18328,15,14995
18332,15,14995
18335,15,14995
18339,15,14995
18347,15,14995
18350,15,14995
18354,15,14995
18357,15,14995
18360,15,14995
18364,15,14995
18367,15,14995
18368,15,14995
18371,15,14995
18374,15,14995
18378,15,14995
18382,15,14995
18386,15,14995
18389,15,14995
18392,15,14995
18394,15,14995
18397,15,14995
18401,15,14995
18405,15,14995
18408,15,14995
18411,15,14995
18413,15,14995
18416,15,14995
18420,15,14995
18424,15,14995
18428,15,14995
18432,15,14995
18435,15,14995
18439,15,14995
18442,15,14995
18446,15,14995
18447,15,14995
18451,15,14995
18454,15,14995
18458,15,14995
18461,15,14995
18465,15,14995
18467,15,14995
18470,15,14995
18474,15,14995
18477,15,14995
18481,15,14995
18483,15,14995
18486,15,14995
18490,15,14995
18494,15,14995
18497,15,14995
18500,15,14995
18501,15,14995
18504,15,14995
18507,15,14995
18510,15,14995
18513,15,14995
18515,15,14995
18518,15,14995
18521,15,14995
18524,15,14995
18527,15,14995
18530,15,14995
18533,15,14995
18536,15,14995
18540,15,14995
18543,15,14995
18546,15,14995
18548,15,14995
18551,15,14995
18554,15,14995
18558,15,14995
18561,15,14995
18564,15,14995
18566,15,14995
18569,15,14995
18572,15,14995
18576,15,14995
18579,15,14995
18583,15,14995
18586,15,14995
18589,15,14995
18593,15,14995
18596,15,14995
18599,15,14995
18603,15,14995
18606,15,14995
18608,15,14995
18612,15,14995
18616,15,14995
18620,15,14995
18623,15,14995
18624,15,14995
18627,15,14995
18630,15,14995
18634,15,14995
18638,15,14995
18641,15,14995
18644,15,14995
18648,15,14995
18652,15,14995
18656,15,14995
18659,15,14995
18663,15,14995
18666,15,14995
18672,15,14995
18676,15,14995
18679,15,14995
18682,15,14995
18683,15,14995
18687,15,14995
18691,15,14995
18695,15,14995
18697,15,14995
18701,15,14995
18705,15,14995
18708,15,14995
18711,15,14995
18714,15,14995
18716,15,14995
18720,15,14995
18723,15,14995
18727,15,14995
18731,15,14995
18732,15,14995
18736,15,14995
18740,15,14995
18743,15,14995
18747,15,14995
18751,15,14995
18755,15,14995
18759,15,14995
18760,15,14995
18763,15,14995
18767,15,14995
18770,15,14995
18773,15,14995
18776,15,14995
18779,15,14995
18783,15,14995
18786,15,14995
18790,15,14995
18793,15,14995
18796,15,14995
18800,15,14995
18803,15,14995
18807,15,14995
18811,15,14995
18815,15,14995
18818,15,14995
18822,15,14995
18826,15,14995
18830,15,14995
18833,15,14995
18836,15,14995
18843,15,14995
18846,15,14995
18849,15,14995
18853,15,14995
18857,15,14995
18858,15,14995
18862,15,14995
18865,15,14995
18869,15,14995
18876,15,14995
18879,15,14995
18882,15,14995
18886,15,14995
18890,15,14995
18894,15,14995
18898,15,14995
18901,15,14995
18904,15,14995
18907,15,14995
18911,15,14995
18914,15,14995
18917,15,14995
18920,15,14995
18924,15,14995
18928,15,14995
18932,15,14995
18936,15,14995
18940,15,14995
18943,15,14995
18944,15,14995
18948,15,14995
18955,15,14995
18958,15,14995
18959,15,14995
18962,15,14995
18965,15,14995
18968,15,14995
18972,15,14995
18973,15,14995
18977,15,14995
18981,15,14995
18985,15,14995
18989,15,14995
18992,15,14995
18995,15,14995
18998,15,14995
19002,15,14995
19006,15,14995
19009,15,14995
19010,15,14995
19014,15,14995
19018,15,14995
19021,15,14995
19024,15,14995
19028,15,14995
19029,15,14995
19030,15,14995
19033,15,14995
19037,15,14995
19040,15,14995
19043,15,14995
19046,15,14995
19050,15,14995
19054,15,14995
19057,15,14995
19060,15,14995
19064,15,14995
19065,15,14995
19068,15,14995
19071,15,14995
19075,15,14995
19078,15,14995
19082,15,14995
19083,15,14995
19087,15,14995
19090,15,14995
19094,15,14995
19097,15,14995
19104,15,14995
19108,15,14995
19109,15,14995
19113,15,14995
19117,15,14995
19121,15,14995
19124,15,14995
19128,15,14995
19129,15,14995
19133,15,14995
19136,15,14995
19140,15,14995
19144,15,14995
19147,15,14995
19151,15,14995
19153,15,14995
19156,15,14995
19160,15,14995
19164,15,14995
19167,15,14995
19171,15,14995
19175,15,14995
19179,15,14995
19182,15,14995
19186,15,14995
19189,15,14995
19192,15,14995
19195,15,14995
19201,15,14995
19205,15,14995
19208,15,14995
19211,15,14995
19214,15,14995
19217,15,14995
19219,15,14995
19225,15,14995
19228,15,14995
19231,15,14995
19234,15,14995
19236,15,14995
19240,15,14995
19244,15,14995
19248,15,14995
19252,15,14995
19255,15,14995
19259,15,14995
19262,15,14995
19264,15,14995
19268,15,14995
19272,15,14995
19276,15,14995
19279,15,14995
19281,15,14995
19284,15,14995
19288,15,14995
19292,15,14995
19296,15,14995
19299,15,14995
19301,15,14995
19305,15,14995
19309,15,14995
19312,15,14995
19315,15,14995
19319,15,14995
19323,15,14995
19326,15,14995
19330,15,14995
19333,15,14995
19337,15,14995
19338,15,14995
19341,15,14995
19344,15,14995
19351,15,14995
19354,15,14995
19357,15,14995
19360,15,14995
19366,15,14995
19370,15,14995
19372,15,14995
19375,15,14995
19379,15,14995
19383,15,14995
19385,15,14995
19389,15,14995
19393,15,14995
19397,15,14995
19400,15,14995
19404,15,14995
20000,15,14995
20001,15,14995
20002,15,14995
20003,15,14995
20004,15,14995
20005,15,14995
20006,15,14995
20007,15,14995
20008,15,14995
20009,15,14995
20010,15,14995
20011,15,14995
20012,15,14995
20013,15,14995
20014,15,14995
20015,15,14995
20016,15,14995
20017,15,14995
20018,15,14995
20019,15,14995
20020,15,14995
20021,15,14995
20022,15,14995
20023,15,14995
20024,15,14995
20025,15,14995
20026,15,14995
20027,15,14995
20028,15,14995
20029,15,14995
20030,15,14995
20031,15,14995
20032,15,14995
20033,15,14995
20034,15,14995
20035,15,14995
20036,15,14995
20037,15,14995
20038,15,14995
20039,15,14995
20040,15,14995
20041,15,14995
20042,15,14995
20043,15,14995
20044,15,14995
20045,15,14995
20046,15,14995
20047,15,14995
20048,15,14995
20049,15,14995
20050,15,14995
20051,15,14995
20052,15,14995
20053,15,14995
20054,15,14995
20055,15,14995
20056,15,14995
20057,15,14995
20058,15,14995
20059,15,14995
20060,15,14995
20061,15,14995
20062,15,14995
20063,15,14995
20064,15,14995
20065,15,14995
20066,15,14995
20067,15,14995
20068,15,14995
20069,15,14995
20070,15,14995
20071,15,14995
20072,15,14995
20073,15,14995
20074,15,14995
20075,15,14995
20076,15,14995
20077,15,14995
20078,15,14995
20079,15,14995
20080,15,14995
20081,15,14995
20082,15,14995
20083,15,14995
20084,15,14995
20085,15,14995
20086,15,14995
20087,15,14995
20088,15,14995
20089,15,14995
20090,15,14995
20091,15,14995
20092,15,14995
20093,15,14995
20094,15,14995
20095,15,14995
20096,15,14995
20097,15,14995
20098,15,14995
20099,15,14995
20100,15,14995
20101,15,14995
20102,15,14995
20103,15,14995
20104,15,14995
20105,15,14995
20106,15,14995
20107,15,14995
20108,15,14995
20109,15,14995
20110,15,14995
20111,15,14995
20112,15,14995
20113,15,14995
20114,15,14995
20115,15,14995
20116,15,14995
20117,15,14995
20118,15,14995
20119,15,14995
20120,15,14995
20121,15,14995
20122,15,14995
20123,15,14995
20124,15,14995
20125,15,14995
20126,15,14995
20127,15,14995
20128,15,14995
20129,15,14995
20130,15,14995
20131,15,14995
20132,15,14995
20133,15,14995
20134,15,14995
20135,15,14995
20136,15,14995
20137,15,14995
20138,15,14995
20139,15,14995
20140,15,14995
20141,15,14995
20142,15,14995
20143,15,14995
20144,15,14995
20145,15,14995
20146,15,14995
20147,15,14995
20148,15,14995
20149,15,14995
20150,15,14995
20151,15,14995
20152,15,14995
20153,15,14995
20154,15,14995
20155,15,14995
20156,15,14995
20157,15,14995
20158,15,14995
20159,15,14995
20160,15,14995
20161,15,14995
20162,15,14995
20163,15,14995
20164,15,14995
20165,15,14995
20166,15,14995
20167,15,14995
20168,15,14995
20169,15,14995
20170,15,14995
20171,15,14995
20172,15,14995
20173,15,14995
20174,15,14995
20175,15,14995
20176,15,14995
20177,15,14995
20178,15,14995
20179,15,14995
20180,15,14995
20181,15,14995
20182,15,14995
20183,15,14995
20184,15,14995
20185,15,14995
20186,15,14995
20187,15,14995
20188,15,14995
20189,15,14995
20190,15,14995
20191,15,14995
20192,15,14995
20193,15,14995
20194,15,14995
20195,15,14995
20196,15,14995
20197,15,14995
20198,15,14995
20199,15,14995
20200,15,14995
20201,15,14995
20202,15,14995
20203,15,14995
20204,15,14995
20205,15,14995
20206,15,14995
20207,15,14995
20208,15,14995
20209,15,14995
20210,15,14995
20211,15,14995
20212,15,14995
20213,15,14995
20214,15,14995
20215,15,14995
20216,15,14995
20217,15,14995
20218,15,14995
20219,15,14995
20220,15,14995
20221,15,14995
20222,15,14995
20223,15,14995
20224,15,14995
20225,15,14995
20226,15,14995
20227,15,14995
20228,15,14995
20229,15,14995
20230,15,14995
20231,15,14995
20232,15,14995
20233,15,14995
20234,15,14995
20235,15,14995
20236,15,14995
20237,15,14995
20238,15,14995
20239,15,14995
20240,15,14995
20241,15,14995
20242,15,14995
20243,15,14995
20244,15,14995
20245,15,14995
20246,15,14995
20247,15,14995
20248,15,14995
20249,15,14995
20250,15,14995
20251,15,14995
20252,15,14995
20253,15,14995
20254,15,14995
20255,15,14995
20256,15,14995
20257,15,14995
20258,15,14995
20259,15,14995
20260,15,14995
20261,15,14995
20270,15,14995
20272,15,14995
20275,15,14995
20277,15,14995
20280,15,14995
20282,15,14995
20285,15,14995
20287,15,14995
20288,15,14995
20291,15,14995
20293,15,14995
20295,15,14995
20298,15,14995
20300,15,14995
20303,15,14995
20305,15,14995
20307,15,14995
20309,15,14995
20311,15,14995
20314,15,14995
20317,15,14995
20319,15,14995
20321,15,14995
20324,15,14995
20326,15,14995
20328,15,14995
20330,15,14995
20333,15,14995
20336,15,14995
20337,15,14995
20339,15,14995
20342,15,14995
20344,15,14995
20346,15,14995
20348,15,14995
20351,15,14995
20353,15,14995
20356,15,14995
20357,15,14995
20360,15,14995
20362,15,14995
20365,15,14995
20367,15,14995
20369,15,14995
20371,15,14995
20374,15,14995
20376,15,14995
20377,15,14995
20379,15,14995
20381,15,14995
20383,15,14995
20386,15,14995
20388,15,14995
20390,15,14995
20393,15,14995
20395,15,14995
20396,15,14995
20399,15,14995
20401,15,14995
20403,15,14995
20405,15,14995
20407,15,14995
20410,15,14995
20412,15,14995
20414,15,14995
20415,15,14995
20418,15,14995
20421,15,14995
20423,15,14995
20425,15,14995
20428,15,14995
20430,15,14995
20432,15,14995
20434,15,14995
20435,15,14995
20438,15,14995
20441,15,14995
20444,15,14995
20446,15,14995
20448,15,14995
20451,15,14995
20452,15,14995
20454,15,14995
20457,15,14995
20460,15,14995
20462,15,14995
20464,15,14995
20466,15,14995
20469,15,14995
20471,15,14995
20472,15,14995
20474,15,14995
20476,15,14995
20478,15,14995
20481,15,14995
20483,15,14995
20486,15,14995
20488,15,14995
20490,15,14995
20493,15,14995
20495,15,14995
20498,15,14995
20501,15,14995
20503,15,14995
20505,15,14995
20508,15,14995
20510,15,14995
20512,15,14995
20514,15,14995
20516,15,14995
20519,15,14995
20522,15,14995
20524,15,14995
20526,15,14995
20528,15,14995
20530,15,14995
20532,15,14995
20534,15,14995
20536,15,14995
20538,15,14995
20540,15,14995
20543,15,14995
20546,15,14995
20547,15,14995
20549,15,14995
20551,15,14995
20553,15,14995
20556,15,14995
20558,15,14995
20560,15,14995
20562,15,14995
20563,15,14995
20566,15,14995
20568,15,14995
20570,15,14995
20572,15,14995
20574,15,14995
20577,15,14995
20579,15,14995
20582,15,14995
20584,15,14995
20587,15,14995
20589,15,14995
20592,15,14995
20594,15,14995
20596,15,14995
20599,15,14995
20601,15,14995
20603,15,14995
20606,15,14995
20609,15,14995
20612,15,14995
20614,15,14995
20616,15,14995
20618,15,14995
20620,15,14995
20621,15,14995
20624,15,14995
20626,15,14995
20628,15,14995
20630,15,14995
20632,15,14995
20634,15,14995
20636,15,14995
20639,15,14995
20640,15,14995
20642,15,14995
20645,15,14995
20647,15,14995
20649,15,14995
20651,15,14995
20654,15,14995
20656,15,14995
20657,15,14995
20659,15,14995
20662,15,14995
20664,15,14995
20666,15,14995
20669,15,14995
20672,15,14995
20674,15,14995
20676,15,14995
20678,15,14995
20681,15,14995
20683,15,14995
20686,15,14995
20688,15,14995
20691,15,14995
20694,15,14995
20697,15,14995
20700,15,14995
20703,15,14995
20704,15,14995
20706,15,14995
20709,15,14995
20712,15,14995
20715,15,14995
20718,15,14995
20720,15,14995
20722,15,14995
20725,15,14995
20728,15,14995
20731,15,14995
20734,15,14995
20736,15,14995
20737,15,14995
20739,15,14995
20741,15,14995
20743,15,14995
20745,15,14995
20748,15,14995
20750,15,14995
20752,15,14995
20754,15,14995
20756,15,14995
20758,15,14995
20760,15,14995
20763,15,14995
20765,15,14995
20767,15,14995
20770,15,14995
20773,15,14995
20775,15,14995
20777,15,14995
20779,15,14995
20782,15,14995
20784,15,14995
20787,15,14995
20789,15,14995
20791,15,14995
20794,15,14995
20797,15,14995
20800,15,14995
20803,15,14995
20806,15,14995
20808,15,14995
20810,15,14995
20813,15,14995
20815,15,14995
20816,15,14995
20819,15,14995
20821,15,14995
20823,15,14995
20826,15,14995
20828,15,14995
20830,15,14995
